23
0	599	884	1058	811	849	816	842	1051	646	927	660	919	694	840	772	977	783	950	797	635	800	736	
599	0	908	1041	705	862	946	576	662	1035	867	829	701	815	631	808	956	727	549	1024	929	593	532	
884	908	0	759	681	558	751	619	859	604	658	819	881	963	580	650	544	852	824	679	1000	839	769	
1058	1041	759	0	865	663	607	636	531	999	597	677	766	647	585	806	1001	638	540	1036	871	745	529	
811	705	681	865	0	907	764	906	536	935	713	980	821	964	932	831	539	606	954	699	643	614	612	
849	862	558	663	907	0	864	688	552	534	1026	744	535	973	813	563	757	560	860	550	914	789	683	
816	946	751	607	764	864	0	798	773	655	653	1038	738	961	1028	756	850	777	644	787	618	632	807	
842	576	619	636	906	688	798	0	786	561	803	582	949	826	900	556	784	768	778	740	818	1010	994	
1051	662	859	531	536	552	773	786	0	828	966	936	671	693	897	876	971	545	913	962	1027	608	1023	
646	1035	604	999	935	534	655	561	828	0	921	765	880	1015	855	530	1030	875	1025	598	594	924	915	
927	867	658	597	713	1026	653	803	966	921	0	710	637	664	685	670	775	709	1050	902	719	1011	975	
660	829	819	677	980	744	1038	582	936	765	710	0	969	792	1032	967	742	575	553	898	885	812	844	
919	701	881	766	821	535	738	949	671	880	637	969	0	939	770	841	814	802	748	715	546	870	572	
694	815	963	647	964	973	961	826	693	1015	664	792	939	0	634	659	1042	697	753	642	665	873	703	
840	631	580	585	932	813	1028	900	897	855	685	1032	770	634	0	1009	968	586	652	809	1043	925	640	
772	808	650	806	831	563	756	556	876	530	670	967	841	659	1009	0	739	901	1012	945	708	895	1019	
977	956	544	1001	539	757	850	784	971	1030	775	742	814	1042	968	739	0	931	886	937	622	959	657	
783	727	852	638	606	560	777	768	545	875	709	575	802	697	586	901	931	0	581	595	611	922	698	
950	549	824	540	954	860	644	778	913	1025	1050	553	748	753	652	1012	886	581	0	689	762	609	874	
797	1024	679	1036	699	550	787	740	962	598	902	898	715	642	809	945	937	595	689	0	728	1017	986	
635	929	1000	871	643	914	618	818	1027	594	719	885	546	665	1043	708	622	611	762	728	0	695	641	
800	593	839	745	614	789	632	1010	608	924	1011	812	870	873	925	895	959	922	609	1017	695	0	1039	
736	532	769	529	612	683	807	994	1023	915	975	844	572	703	640	1019	657	698	874	986	641	1039	0	
